name_rus;name_eng;city_rus;city_eng;gmt_offset;country_rus;phone;email;website
Анаа;Anaa;Анаа;Anaa;+10.0;Французская Полинезия;;;
;Arrabury;Аррабери;Arrabury;-10.0;Австралия;;;
;Al Arish International Airport;Аль-Ариш;Al Arish;+2.0;Египет;;;
;Ad-Dabbah;Ад-Дабба;Ad-Dabbah;+3.0;Судан;;;
;Les Salines;Аннаба;Annaba;+1.0;Алжир;;;
;Municipal;Апалачикола;Apalachicola;-5.0;США;;;
;Arapoti;Арапоти;Arapoti;+0.0;Бразилия;;;
;Aachen/Merzbruck;Аахен;Aachen;+1.0;Германия;;;http://www.flugplatz-aachen.de/
;Arraias;Арраяс;Arraias;+3.0;Бразилия;;;
;Cayana Airstrip;Аварадам;Awaradam;-3.0;Суринам;;;
Аранука;Aranuka;Аранука;Aranuka;-12.0;Кирибати;;;
Аальборг;Aalborg;Аальбург;Aalborg;-1.0;Дания;;;http://www.aal.dk/
Мала-Мала;Mala Mala;Мала-Мала;Mala Mala;+2.0;ЮАР;;;
Эль-Аин;Al Ain;Аль-Айн;Al Ain;+4.0;ОАЭ;;;
Анако;Anaco;Анако;Anaco;-4.0;Венесуэла;;;
;Andrau Airpark;Хьюстон;Houston, TX;-6.0;США;;;
Витязево;Vityazevo;Анапа;Anapa;+3.0;Россия;(861-33) 3-32-33, 9-43-77;info@anapa-airport.ru;http://www.anapa-airport.ru
;Aarhus Airport;Аарус;Aarhus;+1.0;Дания;4587757000;info@aar.dk;http://www.aar.dk
;Apalapsili;Апалапсили;Apalapsili;+9.0;Индонезия;;;
Алтай;Altay;Алтай;Altay;-8.0;Китай;;;
Асау;Asau;Асау;Asau;-11.0;Самоа;;;
;Allah Valley;Суралла;Surallah;+8.0;Филиппины;;;
;Abbottabad;Абботтабад;Abbottabad;+5.0;Пакистан;;;
;Araxa;Араша;Araxa;+3.0;Бразилия;;;
Аль-Гайда;Al Ghaydah;Аль-Гайда;Al Ghaydah;-3.0;Йемен;;;
;Ambriz;Аль-Гайда;Ambriz;-1.0;Ангола;;;
Абакан;Abakan;Абакан;Abakan;+7.0;Россия;(3902) 28-20-01;aeroport@khakasnet.ru;http://www.abakan-airport.ru
;RAF Station;Абингдон;Abingdon;+0.0;Великобритания;;;
;Los Llanos;Албасет;Albacete;+1.0;Испания;;;
Абадан;Abadan;Абадан;Abadan;-3.5;Иран;;;
Абайянг;Abaiang;Абайянг;Abaiang;+12.0;Кирибати;;;
Абингдон;Abingdon;Абингдон;Abingdon;-10.0;Австралия;;;
Альфа;Alpha;Альфа;Alpha;-10.0;Австралия;;;
;Municipal;Абилина;Abilene;-6.0;США;;;
;Felix Houphouet Boigny;Абиджан;Abidjan;+0.0;Кот д'Ивуар;;;
Кабри-Дар;Kabri Dar;Кабри-Дар;Kabri Dar;+3.0;Эфиопия;;;
Амблер;Ambler;Амблер;Ambler;-9.0;США;;;
;Bamaga Injinoo;Бамага;Bamaga, Queensland;-10.0;Австралия;;;
Альбина;Albina;Альбина;Albina;+3.0;Суринам;;;
;Aboisso;Абоисо;Aboisso;+0.0;Кот д'Ивуар;;;
Аткамба;Atkamba;Аткамба;Atkamba;-10.0;Папуа - Новая Гвинея;;;
;Albuquerque International;Альбукерк;Albuquerque;-7.0;США;15052447700;jechavez@cabq.gov;http://www.cabq.gov/airport/
;Municipal;Абердин;Aberdeen;-5.0;США;;;
Абу-Симбель;Abu Simbel;Абу-Симбель;Abu Simbel;+2.0;Египет;;;
;Al-Aqiq;Аль-Баха;Al-Baha;-3.0;Саудовская Аравия;;;
;Atambua;Атамбуа;Atambua;+9.0;Индонезия;;;
;Nnamdi Azikiwe International Airport;Абуджа;Abuja;+1.0;Нигерия;;;
Абау;Abau;Абау;Abau;-10.0;Папуа - Новая Гвинея;;;
Элбери;Albury;Элбери;Albury;+11.0;Австралия;;;
;Dougherty County;Олбани;Albany;-8.0;США;;;
;Dyce;Абердин;Aberdeen;+0.0;Великобритания;+44 (0)870 040 0006;;http://www.aberdeenairport.com/
;Antrim County;Беллэйр;Bellaire;-5.0;США;;;
Котока;Kotoka;Акра;Accra;+0.0;Гана;;;http://www.gcaa.com.gh
Аканди;Acandi;Аканди;Acandi;-5.0;Колумбия;;;
Ланцароте;Lanzarote;Арресиф;Arrecife;+0.0;Испания;;;
;Altenrhein;Альтенрайн;Altenrhein;+1.0;Швейцария;;;http://www.airport-stgallen.com/
;The Blaye;Элдерни;Alderney;+0.0;Великобритания;;;
Анурадхапура;Anuradhapura;Анурадхапура;Anuradhapura;+5.5;Шри-Ланка;;;
;Nantucket Memorial;Нантакет;Nantucket;-5.0;США;;;
;Aguaclara;Агуаклара;Aguaclara;+5.0;Колумбия;;;
Арика;Arica;Арика;Arica;+5.0;Колумбия;;;
;International;Сиудад-Акуна;Ciudad Acuna;-6.0;Мексика;;;
Аскона;Ascona;Аскона;Ascona;+1.0;Швейцария;;;
;Sahand;Саханд;Sahand;+3.5;Иран;;;
Араракуара;Araracuara;Араракуара;Araracuara;+5.0;Колумбия;;;
Ачинск;Achinsk;Ачинск;Achinsk;-2.0;Россия;+7 (39151)5-16-61;airportachinsk@mail.ru;
;Municipal;Вако;Waco;+6.0;США;;;
Ахутупо;Achutupo;Ахутупо;Achutupo;+5.0;Панама;;;
;Arcata;Арката;Arcata;-8.0;США;;;
;Xingyi;Синъи;Xingyi;+0.0;Китай;;;
;Atlantic City Intl;Атлантик Сити;Atlantic City;-5.0;США;;;
;Zabol A/P;Забол;Zabol;+3.5;Иран;;;
Адана;Adana;Адана;Adana;+2.0;Турция;;;
;Adnan Menderes;Измир;Izmir;-2.0;Турция;0090 232 274 20 11;;
;Andakombe;Андакомбе;Андакомбе;+0.0;Папуа - Новая Гвинея;;;
;Bole International;Аддис Абеба;Addis Ababa;+3.0;Эфиопия;;;
Международный;International;Аден;Aden;+3.0;Йемен;;;
;Adiyaman;;Adiyaman;+0.0;Турция;;;
;Lenawee County;;Adrian;-5.0;США;;;
Алдан;Aldan;Алдан;Aldan;-2.0;Россия;;;
;Arandis;;Arandis;+2.0;Намибия;;;
;Marka International Airport;Амман;Amman;+2.0;Иордания;;;
;Adak Island NS;;Adak Island;-10.0;США;;;
;Adelaide International Airport;Аделаида;Adelaide;+10.5;Австралия;;;http://www.aal.com.au
;Ardmore Municipal Arpt;Ардмор;Ardmore;-6.0;США;;;
Андес;Andes;Андес;Andes;-5.0;Колумбия;;;
;Andamooka;;Andamooka;-9.5;Австралия;886727007;peter@andamooka.au.com;http://www.andamookaopal.com.au
